"State","County","Median Housing Value, 2024 ($)","Median Property Taxes Paid, 2024 ($)(5-Year Estimate)","Effective Property Tax Rate (2024)"
"Alabama","Limestone County","$281,000","900","0.32%"
"Alabama","Lowndes County","$86,300","337","0.31%"
"Alabama","Macon County","$102,000","509","0.41%"
"Alabama","Madison County","$299,200","1185","0.39%"
"Alabama","Marengo County","$107,400","409","0.31%"
"Alabama","Marion County","$106,600","301","0.24%"
"Alabama","Marshall County","$201,500","733","0.30%"
"Alabama","Mobile County","$190,700","888","0.43%"
"Alabama","Monroe County","$120,600","381","0.21%"
"Alabama","Montgomery County","$171,900","702","0.36%"
"Alabama","Morgan County","$212,000","718","0.31%"
"Alabama","Perry County","$86,400","281","0.23%"
"Alabama","Pickens County","$123,900","364","0.21%"
"Alabama","Pike County","$157,600","424","0.24%"
"Alabama","Randolph County","$181,600","452","0.27%"
"Alabama","Russell County","$165,700","629","0.38%"
"Alabama","St. Clair County","$226,300","724","0.28%"
"Alabama","Shelby County","$326,100","1423","0.42%"
"Alabama","Sumter County","$82,600","359","0.28%"
"Alabama","Talladega County","$149,200","544","0.29%"
"Alabama","Tallapoosa County","$158,500","481","0.24%"
"Alabama","Tuscaloosa County","$248,700","795","0.31%"
"Alabama","Walker County","$135,900","356","0.23%"
"Alabama","Washington County","$159,700","365","0.23%"
"Alabama","Wilcox County","$98,800","319","0.25%"
"Alabama","Winston County","$118,900","380","0.21%"
"Alaska","Aleutians East Borough","$135,500","200-","n.a."
"Alaska","Aleutians West Census Area","$434,700","3090","0.70%"
"Alaska","Anchorage Municipality","$395,900","4982","1.17%"
"Alaska","Bethel Census Area","$168,100","200-","n.a."
"Alaska","Bristol Bay Borough","$245,800","2045","0.44%"
"Alaska","Chugach Census Area","$346,200","3379","0.91%"
"Alaska","Copper River Census Area","$292,800","200-","0.04%"
"Alaska","Denali Borough","$275,000","-","0.14%"
"Alaska","Dillingham Census Area","$159,000","2738","0.46%"
"Alaska","Fairbanks North Star Borough","$298,200","3550","1.11%"
"Alaska","Haines Borough","$293,300","2445","0.69%"
"Alaska","Hoonah-Angoon Census Area","$262,800","1136","0.03%"
"Alaska","Juneau City and Borough","$449,300","4251","0.88%"
"Alaska","Kenai Peninsula Borough","$323,200","2049","0.54%"
"Alaska","Ketchikan Gateway Borough","$393,300","2619","0.66%"
"Alaska","Kodiak Island Borough","$412,300","3569","0.70%"
"Alaska","Kusilvak Census Area","$84,300","200-","0.01%"
"Alaska","Lake and Peninsula Borough","$237,500","-","n.a."
"Alaska","Matanuska-Susitna Borough","$346,600","3685","0.90%"
"Alaska","Nome Census Area","$211,200","3264","0.46%"
"Alaska","North Slope Borough","$218,300","2305","0.49%"
"Alaska","Northwest Arctic Borough","$199,100","200-","0.00%"
"Alaska","Petersburg Borough","$315,100","1896","0.55%"
"Alaska","Prince of Wales-Hyder Census Area","$225,300","1139","0.09%"
"Alaska","Sitka City and Borough","$450,300","2080","0.37%"
"Alaska","Skagway Municipality","$435,400","1634","0.41%"
"Alaska","Southeast Fairbanks Census Area","$282,000","3350","n.a."
"Alaska","Wrangell City and Borough","$296,400","1673","0.45%"
"Alaska","Yakutat City and Borough","$219,400","1463","0.35%"
"Alaska","Yukon-Koyukuk Census Area","$98,500","1109","0.06%"
"Arizona","Apache County","$63,700","572","0.21%"
"Arizona","Cochise County","$218,300","1310","0.61%"
"Arizona","Coconino County","$448,000","2051","0.39%"
"Arizona","Gila County","$269,400","1386","0.55%"
"Arizona","Graham County","$212,000","1013","0.47%"
"Arizona","Greenlee County","$158,600","518","0.28%"
"Arizona","La Paz County","$135,800","873","0.47%"
"Arizona","Maricopa County","$452,800","1983","0.44%"
"Arizona","Mohave County","$281,000","1238","0.43%"
"Arizona","Navajo County","$201,500","1195","0.39%"
"Arizona","Pima County","$319,700","2272","0.70%"
"Arizona","Pinal County","$349,000","1636","0.50%"
"Arizona","Santa Cruz County","$233,000","1415","0.62%"
"Arizona","Yavapai County","$425,200","1750","0.40%"
"Arizona","Yuma County","$217,800","1333","0.61%"
"Arkansas","Arkansas County","$138,100","745","0.56%"
"Arkansas","Ashley County","$91,900","554","0.53%"
"Arkansas","Baxter County","$174,600","799","0.47%"
"Arkansas","Benton County","$323,500","1823","0.57%"
"Arkansas","Boone County","$188,900","927","0.52%"
"Arkansas","Bradley County","$94,800","545","0.53%"
"Arkansas","Calhoun County","$110,700","515","0.39%"
"Arkansas","Carroll County","$210,400","1082","0.52%"
"Arkansas","Chicot County","$89,100","436","0.54%"
"Arkansas","Clark County","$155,000","871","0.46%"
"Arkansas","Clay County","$94,600","470","0.46%"
"Arkansas","Cleburne County","$179,800","815","0.47%"
"Arkansas","Cleveland County","$137,600","667","0.54%"
"Arkansas","Columbia County","$152,100","718","0.46%"
"Arkansas","Conway County","$154,100","862","0.54%"
"Arkansas","Craighead County","$210,400","1125","0.54%"
"Arkansas","Crawford County","$182,800","982","0.53%"
"Arkansas","Crittenden County","$160,200","987","0.67%"
"Arkansas","Cross County","$117,500","596","0.57%"
"Arkansas","Dallas County","$97,300","547","0.51%"
"Arkansas","Desha County","$90,900","493","0.59%"
"Arkansas","Drew County","$140,800","664","0.52%"
"Arkansas","Faulkner County","$232,700","1253","0.53%"
"Arkansas","Franklin County","$130,800","645","0.54%"
"Arkansas","Fulton County","$113,800","533","0.45%"
"Arkansas","Garland County","$194,300","933","0.48%"
"Arkansas","Grant County","$161,700","880","0.52%"
"Arkansas","Greene County","$169,300","819","0.46%"
"Arkansas","Hempstead County","$105,700","601","0.48%"
"Arkansas","Hot Spring County","$151,100","724","0.58%"
"Arkansas","Howard County","$153,900","639","0.46%"
"Arkansas","Independence County","$142,600","750","0.51%"
"Arkansas","Izard County","$129,100","731","0.51%"
"Arkansas","Jackson County","$98,300","559","0.50%"
"Arkansas","Jefferson County","$113,400","745","0.63%"
"Arkansas","Johnson County","$135,300","709","0.51%"
"Arkansas","Lafayette County","$81,000","494","0.39%"
"Arkansas","Lawrence County","$98,900","461","0.32%"
"Arkansas","Lee County","$75,300","349","0.24%"
"Arkansas","Lincoln County","$108,000","566","0.52%"
"Arkansas","Little River County","$113,500","566","0.47%"
"Arkansas","Logan County","$139,900","716","0.48%"
"Arkansas","Lonoke County","$193,600","1211","0.57%"
"Arkansas","Madison County","$178,100","736","0.32%"
"Arkansas","Marion County","$163,300","775","0.49%"
"Arkansas","Miller County","$153,900","934","0.57%"
"Arkansas","Mississippi County","$122,500","635","0.47%"
"Arkansas","Monroe County","$88,700","456","0.14%"
"Arkansas","Montgomery County","$151,900","479","0.32%"
"Arkansas","Nevada County","$83,300","434","0.45%"
"Arkansas","Newton County","$169,300","649","0.46%"
"Arkansas","Ouachita County","$102,100","525","0.33%"
"Arkansas","Perry County","$130,200","634","0.41%"
"Arkansas","Phillips County","$78,200","636","0.76%"
"Arkansas","Pike County","$121,600","713","0.60%"
"Arkansas","Poinsett County","$103,000","543","0.53%"
"Arkansas","Polk County","$138,400","565","0.35%"
"Arkansas","Pope County","$170,100","945","0.52%"
"Arkansas","Prairie County","$96,400","696","0.57%"
"Arkansas","Pulaski County","$214,700","1642","0.75%"
"Arkansas","Randolph County","$130,600","527","0.42%"
"Arkansas","St. Francis County","$90,900","425","0.48%"
"Arkansas","Saline County","$221,200","1367","0.59%"
"Arkansas","Scott County","$115,000","500","0.37%"
"Arkansas","Searcy County","$110,000","468","0.43%"
"Arkansas","Sebastian County","$176,200","1101","0.62%"
"Arkansas","Sevier County","$117,600","514","0.45%"
"Arkansas","Sharp County","$105,100","584","0.50%"
"Arkansas","Stone County","$171,600","548","0.35%"
"Arkansas","Union County","$120,900","685","0.57%"
"Arkansas","Van Buren County","$135,700","581","0.45%"
"Arkansas","Washington County","$298,400","1564","0.55%"
"Arkansas","White County","$163,600","754","0.47%"
"Arkansas","Woodruff County","$106,500","600","0.48%"
"Arkansas","Yell County","$143,600","640","0.38%"
"California","Alameda County","$1,090,100","8474","0.76%"
"California","Alpine County","$590,200","4530","0.55%"
"California","Amador County","$449,800","3172","0.70%"
"California","Butte County","$424,700","2951","0.71%"
"California","Calaveras County","$457,200","3319","0.71%"
"California","Colusa County","$393,400","2426","0.67%"
"California","Contra Costa County","$866,800","7156","0.78%"
"California","Del Norte County","$342,000","2099","0.49%"
"California","El Dorado County","$679,900","4753","0.72%"
"California","Fresno County","$388,800","2861","0.76%"
"California","Glenn County","$352,400","2263","0.61%"
"California","Humboldt County","$446,900","2858","0.62%"
"California","Imperial County","$309,600","2394","0.83%"
"California","Inyo County","$348,700","2576","0.59%"
"California","Kern County","$338,300","2984","0.89%"
"California","Kings County","$324,300","2425","0.75%"
"California","Lake County","$324,300","2369","0.72%"
"California","Lassen County","$265,300","1923","0.80%"
"California","Los Angeles County","$834,200","5675","0.67%"
"California","Madera County","$393,200","2756","0.69%"
"California","Marin County","$1,507,300","10,000+","0.77%"
"California","Mariposa County","$387,900","2377","0.58%"
"California","Mendocino County","$512,200","3545","0.67%"
"California","Merced County","$391,800","2634","0.67%"
"California","Modoc County","$224,700","1561","0.68%"
"California","Mono County","$639,400","4177","0.70%"
"California","Monterey County","$781,000","4910","0.63%"
"California","Napa County","$869,500","5995","0.60%"
"California","Nevada County","$621,800","4694","0.73%"
"California","Orange County","$962,600","6330","0.64%"
"California","Placer County","$688,100","5812","0.79%"
"California","Plumas County","$360,200","2537","0.69%"
"California","Riverside County","$557,300","4348","0.83%"
"California","Sacramento County","$534,200","3921","0.76%"
"California","San Benito County","$793,400","6441","0.79%"
"California","San Bernardino County","$505,000","3538","0.73%"
"California","San Diego County","$854,700","5774","0.67%"
"California","San Francisco County","$1,394,500","9862","0.72%"
"California","San Joaquin County","$530,700","3960","0.79%"
"California","San Luis Obispo County","$824,700","5636","0.64%"
"California","San Mateo County","$1,559,600","9519","0.63%"
"California","Santa Barbara County","$790,700","5103","0.59%"
"California","Santa Clara County","$1,490,600","10,000+","0.68%"
"California","Santa Cruz County","$1,027,500","6538","0.60%"
"California","Shasta County","$366,400","2542","0.70%"
"California","Sierra County","$331,900","2279","0.62%"
"California","Siskiyou County","$309,500","1973","0.60%"
"California","Solano County","$617,700","4621","0.78%"
"California","Sonoma County","$815,500","5695","0.65%"
"California","Stanislaus County","$450,100","3216","0.73%"
"California","Sutter County","$433,500","3268","0.78%"
"California","Tehama County","$339,600","2118","0.65%"
"California","Trinity County","$325,800","1888","0.26%"
"California","Tulare County","$330,100","2318","0.69%"
"California","Tuolumne County","$433,200","2864","0.62%"
"California","Ventura County","$822,700","5574","0.69%"
"California","Yolo County","$620,700","4749","0.79%"
"California","Yuba County","$412,300","3071","0.77%"
"Colorado","Adams County","$484,200","2962","0.66%"
"Colorado","Alamosa County","$239,100","1024","0.45%"
"Colorado","Arapahoe County","$561,200","2938","0.55%"
"Colorado","Archuleta County","$478,100","1688","0.33%"
"Colorado","Baca County","$122,900","545","0.40%"
"Colorado","Bent County","$146,900","517","0.41%"
"Colorado","Boulder County","$756,300","3998","0.52%"
"Colorado","Broomfield County","$664,500","4007","0.66%"
"Colorado","Chaffee County","$665,700","1901","0.29%"
"Colorado","Cheyenne County","$187,500","887","0.41%"
"Colorado","Clear Creek County","$608,500","2350","0.40%"
"Colorado","Conejos County","$193,400","780","0.44%"
"Colorado","Costilla County","$184,700","582","0.31%"
"Colorado","Crowley County","$116,200","521","0.32%"
"Colorado","Custer County","$392,100","1547","0.35%"
"Colorado","Delta County","$343,200","1068","0.34%"
"Colorado","Denver County","$616,000","2751","0.47%"
"Colorado","Dolores County","$247,600","659","0.39%"
"Colorado","Douglas County","$713,600","3947","0.57%"
"Colorado","Eagle County","$839,500","3510","0.36%"
"Colorado","Elbert County","$709,800","3214","0.47%"
"Colorado","El Paso County","$461,000","1874","0.45%"
"Colorado","Fremont County","$324,000","1175","0.36%"
"Colorado","Garfield County","$527,800","2201","0.39%"
"Colorado","Gilpin County","$573,900","1310","0.37%"
"Colorado","Grand County","$601,500","2071","0.30%"
"Colorado","Gunnison County","$621,800","1798","0.31%"
"Colorado","Hinsdale County","$437,900","1359","0.36%"
"Colorado","Huerfano County","$247,800","699","0.31%"
"Colorado","Jackson County","$239,600","416","0.22%"
"Colorado","Jefferson County","$637,600","3082","0.53%"
"Colorado","Kiowa County","$161,500","939","0.63%"
"Colorado","Kit Carson County","$239,500","1185","0.48%"
"Colorado","Lake County","$466,100","1960","0.64%"
"Colorado","La Plata County","$591,500","1552","0.27%"
"Colorado","Larimer County","$569,100","2832","0.52%"
"Colorado","Las Animas County","$237,600","535","0.27%"
"Colorado","Lincoln County","$246,500","1092","0.46%"
"Colorado","Logan County","$245,300","1132","0.45%"
"Colorado","Mesa County","$378,600","1439","0.38%"
"Colorado","Mineral County","$430,500","1500","0.33%"
"Colorado","Moffat County","$289,500","1146","0.52%"
"Colorado","Montezuma County","$331,400","958","0.29%"
"Colorado","Montrose County","$388,400","1385","0.36%"
"Colorado","Morgan County","$338,600","1751","0.52%"
"Colorado","Otero County","$168,900","520","0.37%"
"Colorado","Ouray County","$739,800","2050","0.24%"
"Colorado","Park County","$532,100","1771","0.39%"
"Colorado","Phillips County","$258,200","1456","0.50%"
"Colorado","Pitkin County","$1,139,100","4074","0.34%"
"Colorado","Prowers County","$160,600","487","0.34%"
"Colorado","Pueblo County","$291,300","1467","0.52%"
"Colorado","Rio Blanco County","$274,400","917","0.33%"
"Colorado","Rio Grande County","$239,500","925","0.44%"
"Colorado","Routt County","$854,700","2736","0.28%"
"Colorado","Saguache County","$212,600","690","0.43%"
"Colorado","San Juan County","$432,500","1364","0.29%"
"Colorado","San Miguel County","$720,700","1900","0.27%"
"Colorado","Sedgwick County","$149,000","664","0.52%"
"Colorado","Summit County","$939,900","2995","0.32%"
"Colorado","Teller County","$479,900","1672","0.35%"
"Colorado","Washington County","$226,200","874","0.42%"
"Colorado","Weld County","$471,700","2440","0.55%"
"Colorado","Yuma County","$211,700","1003","0.53%"
"Connecticut","Capitol Planning Region","$323,700","6454","1.91%"
"Connecticut","Greater Bridgeport Planning Region","$428,800","8670","1.65%"
"Connecticut","Lower Connecticut River Valley Planning Region","$379,700","6357","1.51%"
"Connecticut","Naugatuck Valley Planning Region","$317,700","5983","1.71%"
"Connecticut","Northeastern Connecticut Planning Region","$307,600","4375","1.37%"
"Connecticut","Northwest Hills Planning Region","$335,600","5593","1.35%"
"Connecticut","South Central Connecticut Planning Region","$353,100","6759","1.82%"
"Connecticut","Southeastern Connecticut Planning Region","$323,400","5228","1.56%"
"Connecticut","Western Connecticut Planning Region","$652,900","9295","1.17%"
"Delaware","Kent County","$316,600","1363","0.43%"
"Delaware","New Castle County","$352,200","2499","0.72%"
"Delaware","Sussex County","$382,600","1222","0.31%"
"District of Columbia","District of Columbia","$737,100","4312","0.60%"
"Florida","Alachua County","$288,800","2773","0.99%"
"Florida","Baker County","$256,700","1631","0.88%"
"Florida","Bay County","$310,500","1807","0.59%"
"Florida","Bradford County","$212,500","1164","0.54%"
"Florida","Brevard County","$339,600","2311","0.68%"
"Florida","Broward County","$414,600","3890","0.96%"
"Florida","Calhoun County","$145,300","734","0.59%"
"Florida","Charlotte County","$328,900","2785","0.84%"
"Florida","Citrus County","$245,500","1430","0.63%"
"Florida","Clay County","$312,500","2241","0.77%"
"Florida","Collier County","$540,700","3386","0.59%"
"Florida","Columbia County","$194,900","1434","0.73%"
"Florida","DeSoto County","$174,100","1447","0.72%"
"Florida","Dixie County","$132,000","813","0.60%"
"Florida","Duval County","$303,500","2264","0.75%"
"Florida","Escambia County","$257,200","1495","0.63%"
"Florida","Flagler County","$364,900","2789","0.76%"
"Florida","Franklin County","$273,300","1728","0.55%"
"Florida","Gadsden County","$174,900","927","0.53%"
"Florida","Gilchrist County","$199,900","1302","0.61%"
"Florida","Glades County","$137,000","1170","0.64%"
"Florida","Gulf County","$250,000","1578","0.47%"
"Florida","Hamilton County","$111,200","816","0.48%"
"Florida","Hardee County","$153,600","1264","0.66%"
"Florida","Hendry County","$219,200","1756","0.86%"
"Florida","Hernando County","$276,000","1858","0.71%"
"Florida","Highlands County","$187,900","1353","0.69%"
"Florida","Hillsborough County","$371,500","3010","0.84%"
"Florida","Holmes County","$110,200","600","0.44%"
"Florida","Indian River County","$351,500","2436","0.71%"
"Florida","Jackson County","$120,800","609","0.49%"
"Florida","Jefferson County","$232,600","1439","0.65%"
"Florida","Lafayette County","$157,200","863","0.60%"
"Florida","Lake County","$318,400","2433","0.77%"
"Florida","Lee County","$362,200","2858","0.78%"
"Florida","Leon County","$301,800","2397","0.77%"
"Florida","Levy County","$190,600","1201","0.65%"
"Florida","Liberty County","$127,300","1152","0.61%"
"Florida","Madison County","$116,200","965","0.64%"
"Florida","Manatee County","$391,400","3047","0.76%"
"Florida","Marion County","$243,100","1806","0.72%"
"Florida","Martin County","$432,200","3322","0.76%"
"Florida","Miami-Dade County","$463,000","3744","0.81%"
"Florida","Monroe County","$780,600","4129","0.53%"
"Florida","Nassau County","$382,800","2699","0.73%"
"Florida","Okaloosa County","$351,200","2011","0.59%"
"Florida","Okeechobee County","$193,000","1423","0.73%"
"Florida","Orange County","$390,100","2967","0.82%"
"Florida","Osceola County","$353,300","2700","0.76%"
"Florida","Palm Beach County","$447,300","3858","0.82%"
"Florida","Pasco County","$300,900","2206","0.82%"
"Florida","Pinellas County","$355,100","2474","0.74%"
"Florida","Polk County","$266,500","1933","0.73%"
"Florida","Putnam County","$160,300","1249","0.64%"
"Florida","St. Johns County","$489,200","3721","0.75%"
"Florida","St. Lucie County","$347,300","3241","0.95%"
"Florida","Santa Rosa County","$329,800","1891","0.60%"
"Florida","Sarasota County","$411,800","3106","0.72%"
"Florida","Seminole County","$386,900","2599","0.70%"
"Florida","Sumter County","$385,400","3014","0.74%"
"Florida","Suwannee County","$171,600","1213","0.67%"
"Florida","Taylor County","$114,600","750","0.65%"
"Florida","Union County","$169,500","980","0.53%"
"Florida","Volusia County","$313,000","2395","0.78%"
"Florida","Wakulla County","$258,300","1642","0.69%"
"Florida","Walton County","$425,100","1902","0.49%"
"Florida","Washington County","$171,000","792","0.46%"
"Georgia","Appling County","$76,700","721","0.65%"
"Georgia","Atkinson County","$79,000","625","0.78%"
"Georgia","Bacon County","$101,400","1144","0.89%"
"Georgia","Baker County","$119,500","1023","0.80%"
"Georgia","Baldwin County","$181,900","1276","0.60%"
"Georgia","Banks County","$278,100","1663","0.60%"
"Georgia","Barrow County","$294,700","2307","0.80%"
"Georgia","Bartow County","$289,000","2024","0.69%"
"Georgia","Ben Hill County","$112,700","1210","0.90%"
"Georgia","Berrien County","$131,600","1130","0.74%"
"Georgia","Bibb County","$174,500","1801","0.98%"
"Georgia","Bleckley County","$149,600","1423","0.96%"
"Georgia","Brantley County","$99,600","1185","0.96%"
"Georgia","Brooks County","$139,200","1583","0.88%"
"Georgia","Bryan County","$343,200","2677","0.77%"
"Georgia","Bulloch County","$222,500","1679","0.64%"
"Georgia","Burke County","$151,600","1025","0.52%"
"Georgia","Butts County","$240,600","1976","0.83%"
"Georgia","Calhoun County","$81,000","903","0.76%"
"Georgia","Camden County","$261,400","2305","0.82%"
"Georgia","Candler County","$159,200","1721","0.96%"
"Georgia","Carroll County","$255,100","1566","0.63%"
"Georgia","Catoosa County","$240,900","1566","0.62%"
"Georgia","Charlton County","$142,800","1088","0.66%"
"Georgia","Chatham County","$302,700","2541","0.81%"
"Georgia","Chattahoochee County","$102,700","856","0.67%"
"Georgia","Chattooga County","$115,600","1022","0.71%"
"Georgia","Cherokee County","$435,100","2985","0.69%"
"Georgia","Clarke County","$298,900","2610","0.86%"
"Georgia","Clay County","$94,400","937","1.00%"
"Georgia","Clayton County","$222,300","1933","0.85%"
"Georgia","Clinch County","$84,400","1101","1.07%"
"Georgia","Cobb County","$407,200","2720","0.69%"
"Georgia","Coffee County","$128,900","976","0.60%"
"Georgia","Colquitt County","$121,400","1014","0.76%"
"Georgia","Columbia County","$305,300","2515","0.82%"
"Georgia","Cook County","$157,500","1221","0.74%"
"Georgia","Coweta County","$357,500","2624","0.70%"
"Georgia","Crawford County","$164,100","1421","0.84%"
"Georgia","Crisp County","$140,200","1510","0.94%"
"Georgia","Dade County","$198,500","1133","0.56%"
"Georgia","Dawson County","$406,700","2430","0.61%"
"Georgia","Decatur County","$158,800","1514","0.94%"
"Georgia","DeKalb County","$357,800","3310","0.93%"
"Georgia","Dodge County","$118,100","1030","0.73%"
"Georgia","Dooly County","$107,400","1368","0.95%"
"Georgia","Dougherty County","$134,400","1781","1.20%"
"Georgia","Douglas County","$296,900","2212","0.80%"
"Georgia","Early County","$131,300","1081","0.77%"
"Georgia","Echols County","$124,100","1127","0.80%"
"Georgia","Effingham County","$276,000","2495","0.89%"
"Georgia","Elbert County","$142,000","1298","0.78%"
"Georgia","Emanuel County","$94,700","884","0.78%"
"Georgia","Evans County","$138,200","1405","0.94%"
"Georgia","Fannin County","$306,600","1021","0.40%"
"Georgia","Fayette County","$436,400","3285","0.78%"
"Georgia","Floyd County","$217,900","1847","0.92%"
"Georgia","Forsyth County","$550,400","4020","0.69%"
"Georgia","Franklin County","$179,000","1288","0.65%"
"Georgia","Fulton County","$458,800","4033","0.89%"
"Georgia","Gilmer County","$314,000","1109","0.41%"
"Georgia","Glascock County","$123,800","1273","0.81%"
"Georgia","Glynn County","$301,300","1708","0.52%"
"Georgia","Gordon County","$222,900","1537","0.66%"
"Georgia","Grady County","$152,400","1386","0.92%"
"Georgia","Greene County","$394,800","2425","0.55%"
"Georgia","Gwinnett County","$380,900","3617","0.93%"
"Georgia","Habersham County","$238,300","1403","0.57%"
"Georgia","Hall County","$350,400","2571","0.69%"
"Georgia","Hancock County","$88,600","967","0.94%"
"Georgia","Haralson County","$227,500","1823","0.69%"
"Georgia","Harris County","$302,800","2578","0.80%"
"Georgia","Hart County","$215,100","1209","0.52%"
"Georgia","Heard County","$186,800","1049","0.51%"
"Georgia","Henry County","$313,900","2741","0.89%"
"Georgia","Houston County","$219,800","1835","0.83%"
"Georgia","Irwin County","$105,600","1132","0.76%"
"Georgia","Jackson County","$345,000","3000","0.79%"
"Georgia","Jasper County","$243,400","1959","0.81%"
"Georgia","Jeff Davis County","$118,300","1093","0.65%"
"Georgia","Jefferson County","$105,400","1009","0.89%"
"Georgia","Jenkins County","$92,900","797","0.82%"
"Georgia","Johnson County","$94,900","889","0.81%"
"Georgia","Jones County","$194,500","1878","0.96%"
"Georgia","Lamar County","$216,500","1864","0.93%"
"Georgia","Lanier County","$162,300","1615","0.87%"
"Georgia","Laurens County","$154,500","1021","0.53%"
"Georgia","Lee County","$231,800","2250","0.93%"
"Georgia","Liberty County","$201,500","2087","0.93%"
"Georgia","Lincoln County","$165,900","1643","0.80%"
"Georgia","Long County","$218,300","1903","0.71%"
"Georgia","Lowndes County","$215,600","1750","0.76%"
"Georgia","Lumpkin County","$307,900","1989","0.64%"
"Georgia","McDuffie County","$170,200","1391","0.77%"
"Georgia","McIntosh County","$182,700","1462","0.73%"
"Georgia","Macon County","$97,300","954","1.11%"
"Georgia","Madison County","$219,700","1677","0.74%"
"Georgia","Marion County","$154,100","1090","0.64%"
"Georgia","Meriwether County","$168,800","1445","0.81%"
"Georgia","Miller County","$124,000","1595","1.15%"
"Georgia","Mitchell County","$106,000","1402","1.08%"
"Georgia","Monroe County","$271,200","1886","0.73%"
"Georgia","Montgomery County","$115,500","1204","0.81%"
"Georgia","Morgan County","$342,300","2425","0.72%"
"Georgia","Murray County","$180,700","1225","0.43%"
"Georgia","Muscogee County","$193,900","1660","0.85%"
"Georgia","Newton County","$265,000","2348","0.85%"
"Georgia","Oconee County","$461,600","3222","0.67%"
"Georgia","Oglethorpe County","$231,600","1733","0.68%"
"Georgia","Paulding County","$326,300","2619","0.82%"
"Georgia","Peach County","$207,800","2117","0.78%"
"Georgia","Pickens County","$332,700","1990","0.58%"
"Georgia","Pierce County","$153,300","1266","0.77%"
"Georgia","Pike County","$305,600","2668","0.84%"
"Georgia","Polk County","$187,600","1413","0.73%"
"Georgia","Pulaski County","$157,600","1463","0.91%"
"Georgia","Putnam County","$249,300","1698","0.63%"
"Georgia","Quitman County","$104,600","n.a.","0.73%"
"Georgia","Rabun County","$295,200","1651","0.49%"
"Georgia","Randolph County","$90,200","964","0.95%"
"Georgia","Richmond County","$178,500","1508","0.85%"
"Georgia","Rockdale County","$292,900","2074","0.71%"
"Georgia","Schley County","$143,900","1288","0.91%"
"Georgia","Screven County","$124,300","1519","0.94%"
"Georgia","Seminole County","$121,900","1486","0.99%"
"Georgia","Spalding County","$228,700","2142","0.89%"
"Georgia","Stephens County","$175,300","1424","0.71%"
"Georgia","Stewart County","$65,100","994","0.93%"
"Georgia","Sumter County","$120,200","1502","1.04%"
"Georgia","Talbot County","$117,100","1356","0.83%"
"Georgia","Taliaferro County","$68,900","902","0.80%"
"Georgia","Tattnall County","$140,000","1260","0.67%"
"Georgia","Taylor County","$87,700","838","0.75%"
"Georgia","Telfair County","$113,300","1269","0.70%"
"Georgia","Terrell County","$118,400","1227","0.97%"
"Georgia","Thomas County","$196,700","1539","0.84%"
"Georgia","Tift County","$165,200","1419","0.86%"
"Georgia","Toombs County","$137,000","1235","0.82%"
"Georgia","Towns County","$316,100","1084","0.35%"
"Georgia","Treutlen County","$100,100","708","0.66%"
"Georgia","Troup County","$217,200","2024","0.87%"
"Georgia","Turner County","$97,300","1026","0.92%"
"Georgia","Twiggs County","$111,300","807","0.35%"
"Georgia","Union County","$307,400","1611","0.45%"
"Georgia","Upson County","$168,700","1433","0.81%"
"Georgia","Walker County","$197,100","1479","0.86%"
